Nachname|Vorname|Geburtsdatum|Telefonnr.|Art
Kerckhoff|Markus|19.03.2008|01234-391251|Notfallnummer
Kerckhoff|Markus|19.03.2008|01234-938188|Notfallnummer
Kerckhoff|Markus|19.03.2008|01234-369331|Dienststelle Mutter
Kerckow|Maximilian|13.06.2009|01234-303621|Handy Mutter
Kerckow|Maximilian|13.06.2009|01234-933140|Handy Vater
Kerstiens|Stephan|07.02.2004|01234-417586|Handy Vater
Kerstiens|Stephan|07.02.2004|01234-541317|Eltern
Kerstiens|Stephan|07.02.2004|01234-703456|Handy Mutter
Kiesling|Juliane|10.06.2008|01234-214350|Notfallnummer
Kiesling|Juliane|10.06.2008|01234-943562|Festnetznummer
Kiesling|Juliane|10.06.2008|01234-712218|Handy Mutter
Kiesling|Juliane|10.06.2008|01234-780598|Handy Vater
Kimmerlin|Matthias|06.01.2006|01234-319412|Handy Mutter
Kimmerlin|Matthias|06.01.2006|01234-259821|Eltern
Kimmerlin|Matthias|06.01.2006|01234-582322|Handy Vater
Kimmerlin|Matthias|06.01.2006|01234-632902|Dienststelle Vater
Klaße|Anna|07.09.2007|01234-527187|Eltern
Klaße|Anna|07.09.2007|01234-149397|Mobilnummer
Klauser-Baumgartner|Doreen|28.04.2007|01234-406309|Mobilnummer
Klauser-Baumgartner|Doreen|28.04.2007|01234-309682|Großeltern
Klauser-Baumgartner|Doreen|28.04.2007|01234-600188|Dienststelle Vater
Klauser-Baumgartner|Doreen|28.04.2007|01234-122591|Handy Vater
Klauser-Baumgartner|Doreen|28.04.2007|01234-896598|Handy Mutter
Klauser-Baumgartner|Doreen|28.04.2007|01234-940038|Eltern
Klawitter|Dennis|25.06.2006|01234-231496|Dienststelle Vater
Klawitter|Dennis|25.06.2006|01234-849415|Dienststelle Mutter
Klawitter|Dennis|25.06.2006|01234-276834|Handy Mutter
Klawitter|Dennis|25.06.2006|01234-600411|Eltern
Kleinert|Silke|22.04.2008|01234-677525|Handy Vater
Kleinert|Silke|22.04.2008|01234-397702|Eltern
Kleinert|Silke|22.04.2008|01234-414709|Handy Mutter
Kloos|Klaus|07.08.2007|01234-179649|Großeltern
Kloos|Klaus|07.08.2007|01234-792175|Notfallnummer
Kloos|Klaus|07.08.2007|01234-875533|Eltern
Kloos|Klaus|07.08.2007|01234-566903|Handy Vater
Kloos|Klaus|07.08.2007|01234-816158|Dienststelle Mutter
Kloos|Klaus|07.08.2007|01234-217657|Dienststelle Vater
Knoch|Michael|29.12.2005|01234-256249|Dienststelle Vater
Knoch|Michael|29.12.2005|01234-630324|Dienststelle Mutter
Knoch|Michael|29.12.2005|01234-905262|Eltern
Knoch|Michael|29.12.2005|01234-678632|Handy Vater
Knoch|Michael|29.12.2005|01234-927726|Handy Mutter
Knottner|Peter|15.09.2002|01234-936413|Handy Vater
Koch|Kathrin, Katrin|21.05.2010|01234-325990|Handy Vater
Koch|Kathrin, Katrin|21.05.2010|01234-361021|Tante
Koch|Kathrin, Katrin|21.05.2010|01234-874630|Tante
Koch|Kathrin, Katrin|21.05.2010|01234-214648|Tante
Koch|Kathrin, Katrin|21.05.2010|01234-478411|Handy Mutter
Koch|Kathrin, Katrin|21.05.2010|01234-798210|Eltern
Kock|Ute|11.11.2004|01234-336797|Handy Mutter
Kock|Ute|11.11.2004|01234-980316|Festnetznummer
Kock|Ute|11.11.2004|01234-421090|Handy Vater
Kohl|Susanne|17.10.2007|01234-185464|Eltern
Kohl|Susanne|17.10.2007|01234-498416|Handy Mutter
Kohl|Susanne|17.10.2007|01234-600755|Handy Vater
Kohl|Susanne|17.10.2007|01234-914403|Dienststelle Mutter
Kohl|Susanne|17.10.2007|01234-387868|Dienststelle Vater
Kohle|Janina|19.10.2007|01234-616443|Schwester
Kohle|Janina|19.10.2007|01234-340984|Mutter
Kohle|Janina|19.10.2007|01234-150396|Handy Mutter
Kohlmeierin|Uwe|03.06.2006|01234-766447|Handy Vater
Kohlmeierin|Uwe|03.06.2006|01234-120371|Handy Mutter
Kohlmeierin|Uwe|03.06.2006|01234-632753|Festnetznummer
Kohlmeierin|Uwe|03.06.2006|01234-139434|Großeltern
Köhn|Jörg|07.02.2004|01234-872196|Handy Mutter
Köhn|Jörg|07.02.2004|01234-185181|Handy Stiefvater
Köhn|Jörg|07.02.2004|01234-590540|Festnetznummer
König|Laura|04.07.2010|01234-508858|Dienststelle Vater
König|Laura|04.07.2010|01234-634549|Handy Vater
König|Laura|04.07.2010|01234-282548|Festnetznummer
König|Laura|04.07.2010|01234-684390|Handy Mutter
Korb|Laura|03.03.2009|01234-241948|Handy Vater
Korb|Laura|03.03.2009|01234-745239|Handy Mutter
Kordes|Stephanie|29.06.2006|01234-555044|Eltern
Kordes|Stephanie|29.06.2006|01234-596849|Handy Mutter
Kordes|Stephanie|29.06.2006|01234-315421|Festnetznummer
Kordes|Stephanie|29.06.2006|01234-221621|Oma
Kordes|Stephanie|29.06.2006|01234-714601|Handy Großmutter
Korth|Anja|16.07.2006|01234-944327|Dienststelle Mutter
Korth|Anja|16.07.2006|01234-216097|Handy Vater
Korth|Anja|16.07.2006|01234-148043|Eltern
Korth|Anja|16.07.2006|01234-415074|Handy Mutter
Kortmann|Lea|08.05.2003|01234-355661|Handy Mutter
Kortmann|Lea|08.05.2003|01234-469210|Dienststelle Mutter
Kortmann|Lea|08.05.2003|01234-340316|Eltern
Köster|Manuela|01.09.2007|01234-203058|Eltern
Köster|Manuela|01.09.2007|01234-856869|Handy Vater
Köster|Manuela|01.09.2007|01234-808965|Handy Mutter
Kotthof|Gabriele|03.03.2008|01234-813467|Eltern
Kotthof|Gabriele|03.03.2008|01234-765535|Handy Vater
Kotthof|Gabriele|03.03.2008|01234-788575|Tante
Kotthof|Gabriele|03.03.2008|01234-889723|Handy Mutter
Kräger|Leon|02.08.2010|01234-338771|Festnetznummer
Kräger|Leon|02.08.2010|01234-462058|Handy Mutter
Krahl|Klaudia|26.04.2006|01234-606907|Handy Mutter
Krahl|Klaudia|26.04.2006|01234-228886|Handy Vater
Krahl|Klaudia|26.04.2006|01234-846501|Dienststelle Mutter
Krahl|Klaudia|26.04.2006|01234-995882|Tante
Krahl|Klaudia|26.04.2006|01234-202839|Festnetznummer
Kraul|Doreen|23.06.2010|01234-131106|Festnetznummer
Kraul|Doreen|23.06.2010|01234-376927|Handy Großmutter
Kraul|Doreen|23.06.2010|01234-845132|Handy Mutter
Kraul|Doreen|23.06.2010|01234-144439|Handy Großmutter
Kraul|Doreen|23.06.2010|01234-600270|Dienststelle Vater
Kraul|Doreen|23.06.2010|01234-531034|Handy Vater
Kraus|Sandra|12.10.2003|01234-530946|Eltern
Kraus|Sandra|12.10.2003|01234-959014|Handy Mutter
Kraus|Sandra|12.10.2003|01234-891248|Handy Vater
Kraus|Sandra|12.10.2003|01234-412308|Mobilnummer
Krawielitzki|Melanie|06.10.2006|01234-582219|Dienststelle Mutter
Krawielitzki|Melanie|06.10.2006|01234-609500|Großeltern
Krawielitzki|Melanie|06.10.2006|01234-481426|Handy Vater
Krawielitzki|Melanie|06.10.2006|01234-352025|Eltern
Krawielitzki|Kathrin, Katrin|28.09.2008|01234-253550|Dienststelle Vater
Krawielitzki|Kathrin, Katrin|28.09.2008|01234-282037|Dienststelle Vater
Krawielitzki|Kathrin, Katrin|28.09.2008|01234-783203|Handy Vater
Krawielitzki|Kathrin, Katrin|28.09.2008|01234-497295|Handy Mutter
Krawielitzki|Kathrin, Katrin|28.09.2008|01234-303638|Eltern
Kroh|Anja|18.10.2004|01234-697879|Eltern
Kroh|Tom|14.07.2009|01234-597434|Handy Mutter
Kroh|Anja|18.10.2004|01234-629612|Handy Mutter
Kroh|Anja|18.10.2004|01234-963595|Handy Vater
Kroß|Christin|28.09.2009|01234-727078|Dienststelle Vater
Kroß|Christin|28.09.2009|01234-337690|Handy Mutter
Kroß|Christin|28.09.2009|01234-923039|Eltern
Kroß|Christin|28.09.2009|01234-328169|Handy Vater
Krude|Lukas|20.02.2006|01234-597247|Handy Vater
Krude|Lukas|20.02.2006|01234-294964|Handy Mutter
Krude|Lukas|20.02.2006|01234-650190|Festnetznummer
Kube|Jessika|23.11.2002|01234-164772|Handy Vater
Kube|Jessika|23.11.2002|01234-617577|Eltern
Kube|Jessika|23.11.2002|01234-663908|Handy Mutter
Kuglann|Klaudia|06.12.2004|01234-837131|Handy Mutter
Kuglann|Klaudia|06.12.2004|01234-805498|Eltern
Kuglann|Juliane|09.08.2005|01234-893500|Handy Vater
Kuglann|Klaudia|06.12.2004|01234-277194|Oma
Kuglann|Juliane|09.08.2005|01234-543065|Handy Mutter
Kuglann|Klaudia|06.12.2004|01234-960871|Dienststelle Vater
Kuglann|Klaudia|06.12.2004|01234-331420|Dienststelle Mutter
Kuglann|Juliane|09.08.2005|01234-607689|Dienststelle Vater
Kuglann|Juliane|09.08.2005|01234-662469|Eltern
Kuglann|Klaudia|06.12.2004|01234-906042|Handy Vater
Labrot|Anna|01.06.2010|01234-221215|Handy Vater
Labrot|Anna|01.06.2010|01234-390112|Großeltern
Labrot|Anna|01.06.2010|01234-205746|Eltern
Labrot|Anna|01.06.2010|01234-155992|Großeltern
Lange|Ralph|23.02.2010|01234-148972|Dienststelle Vater
Lange|Ursula|31.10.2008|01234-393443|Dienststelle Mutter
Lange|Ralph|23.02.2010|01234-487627|Handy Vater
Lange|Ralph|23.02.2010|01234-118457|Handy Mutter
Lange|Ursula|31.10.2008|01234-915948|Handy Vater
Lange|Ursula|31.10.2008|01234-537844|Eltern
Lange|Ursula|31.10.2008|01234-501701|Handy Mutter
Lange|Ralph|23.02.2010|01234-818139|Festnetznummer
Lankenau|Anke|29.12.2009|01234-596148|Handy Mutter
Lankenau|Anke|29.12.2009|01234-379972|Eltern
Lassens|Angelika|03.09.2008|01234-249559|Pflegeeltern
Lassens|Angelika|03.09.2008|01234-427813|Handy Pflegemutter
Lassens|Angelika|03.09.2008|01234-954976|Diensthandy Pflegevater
Lettermann|Annett|14.12.2007|01234-428875|Handy Mutter
Lettermann|Annett|14.12.2007|01234-822918|Handy Vater
Lettermann|Annett|14.12.2007|01234-390161|Eltern
Lettermann|Annett|14.12.2007|01234-399630|Dienststelle Vater
Leve|Antje|28.07.2008|01234-744014|Dienststelle Vater
Leve|Antje|28.07.2008|01234-892487|Eltern
Leve|Antje|28.07.2008|01234-496332|Handy Mutter
Leve|Antje|28.07.2008|01234-267110|Handy Vater
Leve|Antje|28.07.2008|01234-994933|Großeltern
Levysohn|Marko|27.11.2006|01234-511929|Handy Vater
Levysohn|Marko|27.11.2006|01234-902829|Dienststelle Mutter
Levysohn|Marko|27.11.2006|01234-458668|Handy Mutter
Liebisch|Vanessa|03.08.2007|01234-563956|Handy Vater
Liebisch|Vanessa|03.08.2007|01234-809601|Handy Mutter
Liebisch|Vanessa|03.08.2007|01234-591754|Eltern
Liedemet|Ulrike|11.09.2008|01234-613193|Dienststelle Mutter
Liedemet|Ulrike|11.09.2008|01234-360611|Handy Großmutter
Liedemet|Ulrike|11.09.2008|01234-558275|Handy Vater
Liedemet|Ulrike|11.09.2008|01234-855472|Eltern
Liedemet|Ulrike|11.09.2008|01234-173987|Handy Mutter
Lindemann|Sophia|31.01.2009|01234-216519|Handy Vater
Lindemann|Sophia|31.01.2009|01234-585206|Handy Mutter
Lindemann|Martin|28.04.2008|01234-812234|Handy Vater
Lindemann|Martin|28.04.2008|01234-398835|Oma
Lindemann|Sophia|31.01.2009|01234-318796|Eltern
Lindemann|Martin|28.04.2008|01234-702007|Handy Mutter
Linneborn|Daniel|24.08.2004|01234-139999|Eltern
Linneborn|Daniel|24.08.2004|01234-169216|Handy Vater
Lins|Sabrina|22.04.2008|01234-762445|Großeltern
Lins|Sabrina|22.04.2008|01234-738487|Eltern
Lins|Sabrina|22.04.2008|01234-754033|Handy Mutter
Lins|Sabrina|22.04.2008|01234-810072|Handy Vater
Lins|Sabrina|22.04.2008|01234-235840|Dienststelle Mutter
Lins|Sabrina|22.04.2008|01234-387666|Dienststelle Vater
Lippmann|Kathrin, Katrin|07.08.2004|01234-915802|Handy Vater
Lippmann|Kathrin, Katrin|07.08.2004|01234-240892|Eltern
Lippmann|Kathrin, Katrin|07.08.2004|01234-781233|Handy Mutter
Liskow|Nadine|27.05.2009|01234-631715|Handy Mutter
Liskow|Nadine|27.05.2009|01234-593064|Eltern
Liskow|Nadine|27.05.2009|01234-693717|Notfallnummer
Liskow|Nadine|27.05.2009|01234-807396|Großeltern
Liskow|Nadine|27.05.2009|01234-582344|Notfallnummer
Liskow|Nadine|27.05.2009|01234-282288|Notfallnummer
Liskow|Nadine|27.05.2009|01234-758439|Handy Vater
Lochen|Sara|13.08.2008|01234-787817|Dienststelle Vater
Lochen|Sara|13.08.2008|01234-267398|Vater
Lochen|Sara|13.08.2008|01234-536514|Handy Vater
Lochen|Sara|13.08.2008|01234-672734|Handy Mutter
Lochen|Sara|13.08.2008|01234-985312|Mutter
Lodde|Leon|20.01.2009|01234-340640|Handy Mutter
Lodde|Leon|20.01.2009|01234-369096|Handy Großmutter
Lodde|Leon|20.01.2009|01234-623704|Dienststelle Vater
Lodde|Leon|20.01.2009|01234-114735|Eltern
Lodde|Leon|20.01.2009|01234-936904|Handy Vater
Loeben|Diana|20.11.2005|01234-240061|Handy Vater
Loeben|Diana|20.11.2005|01234-316537|Dienststelle Mutter
Loeben|Diana|20.11.2005|01234-203898|Handy Mutter
Loeben|Diana|20.11.2005|01234-938252|Eltern
Lofton|Sabrina|19.07.2006|01234-329721|Dienststelle Mutter
Lofton|Sabrina|19.07.2006|01234-558382|Handy Vater
Lofton|Sabrina|19.07.2006|01234-345166|Lebensgefährte Mutter
Lofton|Sabrina|19.07.2006|01234-749949|Lebensgefährte Mutter
Lofton|Sabrina|19.07.2006|01234-380376|Oma
Lofton|Sabrina|19.07.2006|01234-754217|Mutter
Lofton|Sabrina|19.07.2006|01234-937772|Vater
Lofton|Sabrina|19.07.2006|01234-588490|Handy Mutter
Loosch|Sven|09.06.2008|01234-260677|Großeltern
Loosch|Sven|09.06.2008|01234-689499|Dienststelle Mutter
Loosch|Sven|09.06.2008|01234-927894|Dienststelle Vater
Loosch|Sven|09.06.2008|01234-200031|Handy Mutter
Loosch|Sven|09.06.2008|01234-627851|Eltern
Loosch|Sven|09.06.2008|01234-973677|Handy Vater
Lorenses|Sabine|06.05.2005|01234-324102|Handy Mutter
Lorenses|Tim|13.11.2009|01234-563933|Handy Mutter
Lorenses|Sabine|06.05.2005|01234-745672|Dienststelle Vater
Lorenses|Sabine|06.05.2005|01234-788109|Dienststelle Mutter
Lorenses|Sabine|06.05.2005|01234-493201|Handy Vater
Lorenses|Tim|13.11.2009|01234-254238|Handy Vater
Lorenses|Tim|13.11.2009|01234-346917|Notfallnummer
Lorenses|Sabine|06.05.2005|01234-771371|Eltern
Lottmann|Angelika|20.01.2007|01234-291884|Dienststelle Mutter
Lottmann|Angelika|20.01.2007|01234-637316|Handy Vater
Lottmann|Angelika|20.01.2007|01234-730316|Handy Mutter
Lottmann|Angelika|20.01.2007|01234-473636|Eltern
Lottmann|Angelika|20.01.2007|01234-195516|Dienststelle Vater
Lotz|Tobias|03.02.2004|01234-461063|Handy Mutter
Lotz|Tobias|03.02.2004|01234-218110|Handy Vater
Lotz|Tobias|03.02.2004|01234-826811|Dienststelle Mutter
Lotz|Tobias|03.02.2004|01234-153203|Festnetznummer
Lovick|Birgit|24.06.2007|01234-838652|Eltern
Lovick|Birgit|24.06.2007|01234-181777|Handy Vater
Lovick|Birgit|24.06.2007|01234-515128|Handy Mutter
Lüche|Christina|22.09.2009|01234-862968|Oma
Lüche|Christina|22.09.2009|01234-513424|Handy Mutter
Lüche|Christina|22.09.2009|01234-125479|Eltern
Lüche|Christina|22.09.2009|01234-782237|Handy Vater
Lucht|Karolin|26.05.2006|01234-171716|Notfallnummer
Lückels|Markus|14.07.2010|01234-583509|Eltern
Lückels|Markus|14.07.2010|01234-646727|Tante
Lückels|Markus|14.07.2010|01234-832818|Handy Vater
Lückels|Markus|14.07.2010|01234-596807|Handy Mutter
Lückels|Markus|14.07.2010|01234-941827|Handy Großvater
Lüdersdorf|Andrea|20.04.2010|01234-874182|Dienststelle Mutter
Lüdersdorf|Andrea|20.04.2010|01234-190274|Handy Mutter
Lüdersdorf|Andrea|20.04.2010|01234-655734|Handy Vater
Lüdersdorf|Andrea|20.04.2010|01234-794658|Eltern
Ludwig|Philipp|13.11.2004|01234-278962|Eltern
Ludwig|Philipp|13.11.2004|01234-909957|Handy Mutter
Lütkens|Patrick|08.01.2009|01234-431604|Eltern
Lütkens|Patrick|08.01.2009|01234-790968|Handy Vater
Lütkens|Patrick|08.01.2009|01234-325427|Handy Mutter
Lüttger|Jana|18.06.2006|01234-483480|Handy Vater
Lüttger|Jana|18.06.2006|01234-552368|Festnetznummer
Lüttger|Jana|18.06.2006|01234-644950|Handy Mutter
Lux|Andrea|23.03.2005|01234-195589|Handy Vater
Lux|Andrea|23.03.2005|01234-686964|Handy Mutter
Lux|Andrea|23.03.2005|01234-619203|Eltern
Lux|Andrea|23.03.2005|01234-938328|Dienststelle Mutter
Mackiewicz|Eric|26.07.2007|01234-541813|Mobilnummer
Macmillan|David|05.12.2008|01234-326732|Handy Vater
Macmillan|David|05.12.2008|01234-349299|Handy Mutter
Macmillan|David|05.12.2008|01234-492647|Eltern
Macmillan|David|05.12.2008|01234-935756|Dienststelle Mutter
Maletz|Kristian|01.01.2006|01234-818845|Dienststelle Vater
Maletz|Kristian|01.01.2006|01234-715541|Vater
Maletz|Kristian|01.01.2006|01234-187460|Handy Vater
Maletz|Kristian|01.01.2006|01234-733752|Handy Mutter
Maletz|Kristian|01.01.2006|01234-288726|Dienststelle Mutter
Maletz|Kristian|01.01.2006|01234-661298|Mutter
Mallory|Eric|14.04.2004|01234-459580|Festnetznummer
Mallory|Eric|14.04.2004|01234-679222|Handy Vater
Mallory|Eric|14.04.2004|01234-170111|Handy Mutter
Mandelsloh|Sven|31.03.2007|01234-419862|Eltern
Mandelsloh|Sven|31.03.2007|01234-453211|Handy Mutter
Mandelsloh|Sven|31.03.2007|01234-234272|Großeltern
Mandelsloh|Sven|31.03.2007|01234-193998|Dienststelle Vater
Mandelsloh|Sven|31.03.2007|01234-248380|Handy Vater
Mandelsloh|Sven|31.03.2007|01234-238082|Großeltern
Mandelsloh|René|23.07.2009|01234-447852|Notfallnummer
Mandelsloh|René|23.07.2009|01234-450713|Notfallnummer
Mandelsloh|René|23.07.2009|01234-310162|Eltern
Mandelsloh|René|23.07.2009|01234-637583|Dienststelle Mutter
Mandelsloh|René|23.07.2009|01234-586325|Handy Mutter
Maria|Christine|20.05.2008|01234-922622|Handy Mutter
Maria|Christine|20.05.2008|01234-574053|Eltern
Maria|Christine|20.05.2008|01234-999607|Handy Vater
Maria|Christine|20.05.2008|01234-705430|Dienststelle Mutter
Maria|Christine|20.05.2008|01234-115154|Dienststelle Vater
Maria|Christine|20.05.2008|01234-672301|Notfallnummer
Maria|Christine|20.05.2008|01234-553164|Notfallnummer
Marten|Ines|26.06.2009|01234-656738|Handy Vater
Marten|Ines|26.06.2009|01234-557290|Handy Mutter
Marten|Ines|26.06.2009|01234-495671|Notfallnummer
Marteville|Diana|14.09.2005|01234-292483|Handy Mutter
Marteville|Diana|14.09.2005|01234-378479|Handy Vater
Marteville|Diana|14.09.2005|01234-415221|Mutter
Marteville|Diana|14.09.2005|01234-795013|Dienststelle Mutter
Marung|Kathrin, Katrin|19.11.2006|01234-284818|Handy Mutter
Marung|Kathrin, Katrin|19.11.2006|01234-316526|Handy Vater
Marung|Kathrin, Katrin|19.11.2006|01234-367333|Großeltern
Marung|Kathrin, Katrin|19.11.2006|01234-542435|Eltern
Maßem|Heike|17.02.2007|01234-387429|Eltern
Maßem|Heike|17.02.2007|01234-857380|Dienststelle Vater
Maßem|Heike|17.02.2007|01234-975654|Dienststelle Mutter
Maßem|Heike|17.02.2007|01234-945222|Handy Vater
Maßem|Heike|17.02.2007|01234-381103|Handy Mutter
Matschke|Eric|05.05.2005|01234-190089|Handy Vater
Matschke|Eric|05.05.2005|01234-265401|Handy Mutter
Matschke|Eric|05.05.2005|01234-223627|Eltern
Matthias|Tobias|29.10.2010|01234-865620|Eltern
Matthias|Tobias|29.10.2010|01234-667041|Dienststelle Mutter
Matthias|Tobias|29.10.2010|01234-844684|Dienststelle Vater
Matthias|Tobias|29.10.2010|01234-620198|Handy Mutter
Matzen|Marcel|05.08.2005|01234-860757|Handy Mutter
Matzen|Marcel|05.08.2005|01234-589497|Festnetznummer
Mayfield|Anna|31.10.2006|01234-776394|Eltern
Mayfield|Anna|31.10.2006|01234-776934|Handy Mutter
Mayfield|Anna|31.10.2006|01234-217522|Handy Vater
Mayfield|Anna|31.10.2006|01234-218428|Dienststelle Mutter
Mehrings|Ines|29.06.2008|01234-108324|Eltern
Mehrings|Ines|29.06.2008|01234-372062|Handy Mutter
Mehrings|Ines|29.06.2008|01234-465033|Handy Vater
Mehrings|Ines|29.06.2008|01234-512628|Dienststelle Mutter
Melchers|Katja|11.04.2004|01234-418147|Eltern
Melchers|Katja|11.04.2004|01234-348660|Handy Mutter
Melchers|Katja|11.04.2004|01234-351176|Handy Vater
Melchers|Katja|11.04.2004|01234-137979|Großeltern
Melchers|Katja|11.04.2004|01234-890271|Dienststelle Vater
Melchers|Dennis|29.10.2004|01234-173397|Handy Vater
Melchers|Dennis|29.10.2004|01234-267906|Handy Mutter
Menk|Ulrike|13.09.2006|01234-840906|Eltern
Menk|Ulrike|13.09.2006|01234-286345|Dienststelle Vater
Menk|Ulrike|13.09.2006|01234-504764|Handy Mutter
Menk|Ulrike|13.09.2006|01234-927508|Handy Vater
Menne|Jürgen|20.02.2008|01234-733057|Eltern
Menne|Jürgen|20.02.2008|01234-505878|Handy Mutter
Menne|Jürgen|20.02.2008|01234-908947|Handy Vater
Menne|Jürgen|20.02.2008|01234-301846|Dienststelle Mutter
Menne|Jürgen|20.02.2008|01234-292792|Dienststelle Vater
Mennemann|Jens|27.05.2009|01234-169673|Onkel
Mennemann|Michael|07.09.2007|01234-133318|Dienststelle Mutter
Mennemann|Michael|07.09.2007|01234-997005|Eltern
Mennemann|Michael|07.09.2007|01234-936431|Handy Vater
Mennemann|Jens|27.05.2009|01234-418483|Handy Mutter
Mennemann|Michael|07.09.2007|01234-920535|Handy Mutter
Menzel|Dennis|25.08.2008|01234-452650|Dienststelle Vater
Menzel|Dennis|25.08.2008|01234-755321|Dienststelle Mutter
Menzel|Jens|21.02.2003|01234-562267|Handy Mutter
Menzel|Jens|21.02.2003|01234-272530|Dienststelle Mutter
Menzel|Jens|21.02.2003|01234-693661|Handy Vater
Menzel|Jens|21.02.2003|01234-365795|Eltern
Menzel|Dennis|25.08.2008|01234-149497|Eltern
Menzel|Dennis|25.08.2008|01234-742998|Handy Mutter
Menzel|Dennis|25.08.2008|01234-193373|Handy Vater
Meredith|Lukas|10.12.2004|01234-321462|Handy Vater
Meredith|Lukas|10.12.2004|01234-581614|Handy Mutter
Meredith|Lukas|10.12.2004|01234-979223|Dienststelle Mutter
Meredith|Lukas|10.12.2004|01234-867015|Eltern
Merten|Sabrina|06.09.2007|01234-231534|Eltern
Merten|Sabrina|06.09.2007|01234-693679|Handy Vater
Meyer|Martina|17.02.2009|01234-650252|Tante
Meyer|Martina|17.02.2009|01234-228686|Dienststelle Vater
Meyer|Martina|17.02.2009|01234-495599|Handy Vater
Meyer|Martina|17.02.2009|01234-831147|Handy Mutter
Michelsen|Jan|22.11.2010|01234-465933|Dienststelle Mutter
Michelsen|Jan|22.11.2010|01234-250161|Eltern
Michelsen|Jan|22.11.2010|01234-768082|Handy Mutter
Michelsen|Jan|22.11.2010|01234-540044|Handy Vater
Miehlich|Lisa|10.04.2007|01234-147911|Dienststelle Mutter
Miehlich|Lisa|10.04.2007|01234-328705|Dienststelle Vater
Miehlich|Lisa|10.04.2007|01234-519116|Handy Mutter
Miehlich|Lisa|10.04.2007|01234-808552|Eltern
Miehlich|Lisa|10.04.2007|01234-305744|Handy Vater
Miller|Kathrin, Katrin|28.06.2007|01234-493858|Handy Großvater
Miller|Kathrin, Katrin|28.06.2007|01234-365484|Handy Vater
Miller|Kathrin, Katrin|28.06.2007|01234-860970|Tante
Miller|Kathrin, Katrin|28.06.2007|01234-382704|Handy Mutter
Molitor|Barbara|26.01.2009|01234-399424|Eltern
Molitor|Barbara|26.01.2009|01234-643220|Großeltern
Molitor|Barbara|26.01.2009|01234-713051|Großeltern
Molitor|Barbara|26.01.2009|01234-500824|Dienststelle Vater
Molitor|Barbara|26.01.2009|01234-457463|Handy Vater
Molitor|Barbara|26.01.2009|01234-588872|Handy Mutter
Möller|Vanessa|15.05.2010|01234-601375|Notfallnummer
Möller|Vanessa|15.05.2010|01234-132323|Notfallnummer
Möller|Vanessa|15.05.2010|01234-986368|Dienststelle Vater
Möller|Vanessa|15.05.2010|01234-670364|Handy Vater
Möller|Vanessa|15.05.2010|01234-739873|Handy Mutter
Möller|Vanessa|15.05.2010|01234-380161|Festnetznummer
Möller|Vanessa|15.05.2010|01234-328810|Notfallnummer
Möllmann|David|01.10.2008|01234-290379|Dienststelle Vater
Möllmann|David|01.10.2008|01234-731387|Opa
Möllmann|David|01.10.2008|01234-689673|Eltern
Möllmann|David|01.10.2008|01234-522172|Handy Mutter
Möllmann|David|01.10.2008|01234-665853|Handy Vater
Möllmann|David|01.10.2008|01234-810431|Dienststelle Mutter
Momsen|Ralf|09.08.2005|01234-921648|Dienststelle Vater
Momsen|Ralf|09.08.2005|01234-379945|Handy Mutter
Momsen|Ralf|09.08.2005|01234-996305|Handy Vater
Momsen|Ralf|09.08.2005|01234-620552|Eltern
Mörchen|Philipp|01.09.2008|01234-832505|Handy Mutter
Mörchen|Philipp|01.09.2008|01234-403188|Handy Vater
Mörchen-Womelsdorf|Diana|23.06.2010|01234-780049|Festnetznummer
Mörchen-Womelsdorf|Diana|23.06.2010|01234-370471|Handy Mutter
Mörchen-Womelsdorf|Diana|23.06.2010|01234-282254|Notfallnummer
Müller|Jan|23.12.2004|01234-167769|Handy Mutter
Müller|Jan|23.12.2004|01234-665558|Eltern
Mund|Tanja|01.05.2008|01234-943080|Handy Vater
Mund|Tanja|01.05.2008|01234-634756|Dienststelle Vater
Mund|Tanja|01.05.2008|01234-551250|Handy Mutter
Naundorf|Anke|12.11.2003|01234-516711|Dienststelle Mutter
Naundorf|Anke|12.11.2003|01234-608149|Mobilnummer
Neuendorff|Leon|16.06.2004|01234-962629|Eltern
Neuendorff|Leon|16.06.2004|01234-290162|Dienststelle Vater
Neuendorff|Leon|16.06.2004|01234-691036|Dienststelle Mutter
Neuendorff|Leon|16.06.2004|01234-715588|Handy Mutter
Neuendorff|Leon|16.06.2004|01234-265338|Handy Vater
Neumann|Andreas|07.08.2008|01234-248497|Eltern
Neumann|Andreas|07.08.2008|01234-998455|Handy Vater
Neumann|Andreas|07.08.2008|01234-590104|Handy Mutter
Niederschlag|Daniel|07.03.2009|01234-763852|Eltern
Niederschlag|Daniel|07.03.2009|01234-499764|Handy Vater
Niederschlag|Daniel|07.03.2009|01234-971055|Onkel
Niederschlag|Daniel|07.03.2009|01234-812540|Tante
Niederschlag|Daniel|07.03.2009|01234-268486|Handy Mutter
Niehaus|Phillipp|28.07.2004|01234-703581|Eltern
Niehaus|Phillipp|28.07.2004|01234-667222|Handy Mutter
Niehaus|Phillipp|28.07.2004|01234-417550|Handy Vater
Niehues-Schütte|Jana|19.01.2006|01234-930386|Eltern
Niehues-Schütte|Jana|19.01.2006|01234-887491|Handy Mutter
Niehues-Schütte|Jana|19.01.2006|01234-195257|Handy Vater
