Nachname|Vorname|Geburtsdatum|Namenszusatz|Geburtsname|Geburtsort|Ortsteil|Telefon-Nr.|E-Mail|2. Staatsang.|Externe ID-Nr|Sportbefreiung|Fahrschülerart|Haltestelle|Einschulungsart|Entlassdatum|Entlassjahrgang|Datum Schulwechsel|Bemerkungen|BKAZVO|BeginnBildungsgang|Anmeldedatum|Bafög|EP-Jahre|Fax/Mobilnr|Ausweisnummer|schulische E-Mail|Masern-Impfnachweis
Maßem|Heike|17.02.2007|||Wuppertal||01234-708143|H.Maßem@smail.de||||||51|||||||23.02.2017|N|2|0189-207236||victoria.tauchert@neg-velbert.de|N
Miller|Kathrin, Katrin|28.06.2007|||Herten||01234-624641|K.Miller@smail.de||||||51|||||||01.03.2017|N|2|0189-951720||sena.karaman@neg-velbert.de|N
Noostny|Ralph|01.02.2007|||Essen||01234-997448|R.Noostny@smail.de||||||51|||||||22.02.2017|N|2|0189-761960||lennart.kern@neg-velbert.de|N
Ringer|Janina|13.10.2007|||Bochum||01234-756533|J.Ringer@smail.de||||||51|||||||01.03.2017|N|2|0189-508346||lena.hansen@neg-velbert.de|N
Rötger|Thomas|05.07.2007|||Wuppertal||01234-985971|T.Rötger@smail.de||||||51|||||||01.03.2017|N|2|0189-629213||joshua.stamm@neg-velbert.de|N
Schmitt|Mandy|01.12.2007|||Oberhausen||01234-879383|M.Schmitt@smail.de||||||51|||||||22.02.2017|N|2|0189-318076||mathilda.saalmann@neg-velbert.de|N
Schupp|Matthias|17.12.2007|||Krefeld||01234-294060|M.Schupp@smail.de||||||51|||||||30.01.2020|N|2|0189-339782||jasper.born@neg-velbert.de|N
Strack|Martin|03.02.2007|||Kaarst||01234-119140|M.Strack@smail.de||||||51|||||||01.03.2017|N|2|0189-809651||ben.klemm@neg-velbert.de|N
Suethausen|Jürgen|29.12.2006|||Köln||01234-537952|J.Suethausen@smail.de||||||51|||||||01.03.2017|N|2|0189-552292||sebastian.lisson@neg-velbert.de|N
Ulfers|Nadine|20.10.2007|||Solingen||01234-681891|N.Ulfers@smail.de||||||51|||||||02.03.2017|N|2|0189-420678||amelie.roehm@neg-velbert.de|N
Vulpinus|Manuela|19.04.2007|||Wuppertal||01234-629232|M.Vulpinus@smail.de||||||51|||||||23.02.2017|N|2|0189-994803||karolina.prandzioch@neg-velbert.de|N
Achterberg|Ulrike|22.05.2006|||Dinslaken||01234-560969|U.Achterberg@smail.de||||||51|||||||15.02.2016|N|2|0189-530496||amal.boughlid@neg-velbert.de|N
Arentz|Steffen|08.05.2006|||Herne||01234-870401|S.Arentz@smail.de||||||51|||||||15.02.2016|N|2|0189-845774||constantin.john@neg-velbert.de|N
Bare|Kristin|13.11.2003|||Sassenberg||01234-100859|K.Bare@smail.de||||||51||09|||||02.07.2019|N|2|0189-498593||andela.vrebac@neg-velbert.de|N
Bethke|Kathrin, Katrin|08.06.2006|||Düsseldorf||01234-543659|K.Bethke@smail.de||||||51|||||||23.02.2016|N|2|0189-685364||aleyna.yalcin@neg-velbert.de|N
Beyl|René|18.06.2005|||Much||01234-530878|R.Beyl@smail.de||||||51||||||01.08.2015||N|2|0189-864625||ammar.rec@neg-velbert.de|N
Bödding|Peter|01.10.2006|||Raesfeld||01234-536499|P.Bödding@smail.de||||||51|||||||16.02.2016|N|2|0189-652975||marcus.eigermann@neg-velbert.de|N
Böttcher|Dieter|30.06.2006|||Lienen||01234-250108|D.Böttcher@smail.de||||||51|||||||15.02.2016|N|2|0189-472131||tom.schumacher@neg-velbert.de|N
Boy|Markus|31.01.2006|||Nottuln||01234-874918|M.Boy@smail.de||||||51|||||||15.02.2016|N|2|0189-877801||manuel.schulte@neg-velbert.de|N
Burghaus|Ursula|04.06.2006|||Meerbusch||01234-497014|U.Burghaus@smail.de||||||51|||||||15.02.2016|N|2|0189-912236||alina.eigen@neg-velbert.de|N
Burow|Diana|29.10.2006|||Bedburg||01234-369768|D.Burow@smail.de||||||51|||||||15.02.2016|N|2|0189-837341||anna.kuzina@neg-velbert.de|N
Cort|Ines|08.04.2004|||Olsberg||01234-956336|I.Cort@smail.de||||||51|||||||12.11.2018|N|3|0189-594538||aya.zarzour@neg-velbert.de|N
Dalcke|Torsten|19.10.2005|||Wuppertal||01234-995474|T.Dalcke@smail.de|163|||||51||||||01.08.2015||N|2|0189-619897||mustafa.salci@neg-velbert.de|N
Deipenbrock|Katja|23.12.2005|||Dortmund||01234-388411|K.Deipenbrock@smail.de||||||51||||||||N|2|0189-676192||bouchra.alioui@neg-velbert.de|N
Diele|Diana|23.03.2006|||Rüthen||01234-561518|D.Diele@smail.de||||||51|||||||14.02.2016|N|2|0189-135517||mia.beckmann@neg-velbert.de|N
Dörner|Alexander|03.08.2004|||Rietberg||01234-365601|A.Dörner@smail.de||||||51||09||||01.08.2015||N|2|0189-390440||leon.grimm@neg-velbert.de|N
Eilers|Andrea|14.09.2006|||Arnsberg||01234-818985|A.Eilers@smail.de||||||51|||||||15.02.2016|N|2|0189-341422||sophia.dos@neg-velbert.de|N
Eylers|Katharina|21.06.2006|||Hagen||01234-448218|K.Eylers@smail.de||||||51|||||||15.02.2016|N|2|0189-782768||johanna.moelders@neg-velbert.de|N
Flor|René|06.06.2006|||Stemwede||01234-249289|R.Flor@smail.de||||||51|||||||15.02.2016|N|2|0189-465996||rojhat.erol@neg-velbert.de|N
Freundt|Annett|22.07.2006|||Olpe||01234-655351|A.Freundt@smail.de||||||51|||||||16.02.2016|N|2|0189-196332||djura.klaassen@neg-velbert.de|N
Frieling|Marina|24.04.2006|||Köln||01234-611946|M.Frieling@smail.de||||||51|||||||15.02.2016|N|2|0189-548107||jula.gerkens@neg-velbert.de|N
Gabel|Marina|23.05.2006|||Beverungen||01234-218039|M.Gabel@smail.de||||||51|||||||15.02.2016|N|2|0189-321047||selin.arslan@neg-velbert.de|N
Gehlen|Angelika|17.03.2006|||Erkelenz||01234-625079|A.Gehlen@smail.de||||||51|||||||21.06.2016|N|2|0189-418306||jana.meinert@neg-velbert.de|N
Gehlsen|Katja|10.12.2005|||Düsseldorf||01234-333797|K.Gehlsen@smail.de||||||51||||||01.08.2015||N|2|0189-762463||kira.schwarz@neg-velbert.de|N
Gellich|Kristin|10.07.2006|||Straelen||01234-616158|K.Gellich@smail.de||||||51|||||||15.02.2016|N|2|0189-519661||madita.neitzke@neg-velbert.de|N
Gerok|Melanie|13.10.2006|||Soest||01234-223694|M.Gerok@smail.de||||||51|||||||15.02.2016|N|2|0189-893399||andrea.kunz@neg-velbert.de|N
Gieben|David|06.01.2006|||Westerkappeln||01234-625171|D.Gieben@smail.de||||||52|||||||15.02.2016|N|2|0189-732489||aike.bose@neg-velbert.de|N
Gumpert|Antje|20.02.2003|||Radevormwald||01234-787085|A.Gumpert@smail.de||||||51|||||||11.05.2016|N|2|0189-461216||ahlam.khudida@neg-velbert.de|N
Hellwagen|Claudia|12.08.2006|||Schöppingen||01234-257509|C.Hellwagen@smail.de|475|||||51|||||||22.08.2018|N|2|0189-218791||tala.alrifai@neg-velbert.de|N
Hettig|Ines|15.04.2007|||Emsdetten||01234-115552|I.Hettig@smail.de||||||51|||||||12.11.2018|N|2|0189-545038||reem.zarzour@neg-velbert.de|N
Hettig|Jana|31.05.2006|||Bad Salzuflen||01234-971607|J.Hettig@smail.de||||||51|||||||15.02.2016|N|2|0189-843788||antonia.jannusch@neg-velbert.de|N
Heuel|Michael|15.08.2006|||Ibbenbüren||01234-900369|M.Heuel@smail.de||||||51|||||||15.02.2016|N|2|0189-141231||kilian.wagenaar@neg-velbert.de|N
Heydemann|Jürgen|14.07.2006|||Aachen||01234-474526|J.Heydemann@smail.de||||||51|||||||15.02.2016|N|2|0189-387583||muhammed.coskun@neg-velbert.de|N
Hickman|Benjamin|28.08.2006|||Essen||01234-763908|B.Hickman@smail.de||||||51|||||||15.02.2016|N|2|0189-856787||laurenz.richter@neg-velbert.de|N
Hintz|Maria|01.10.2006|||Dortmund||01234-753712|M.Hintz@smail.de||||||51|||||||15.02.2016|N|2|0189-302297||sara.kaplan@neg-velbert.de|N
Horstmann|Jonas|13.07.2006|||Neuss||01234-232797|J.Horstmann@smail.de||||||51|||||||15.02.2016|N|2|0189-341001||julian.vollbrecht@neg-velbert.de|N
Kaufmann|Phillipp|27.03.2005|||Overath||01234-314621|P.Kaufmann@smail.de||||||51|||||||11.07.2018|N|2|0189-691892||florian.schubert@neg-velbert.de|N
Kimmerlin|Matthias|06.01.2006|||Paderborn||01234-815369|M.Kimmerlin@smail.de||||||51|||||||15.02.2016|N|2|0189-787038||kilian.bose@neg-velbert.de|N
Klawitter|Dennis|25.06.2006|||Schwerte||01234-858484|D.Klawitter@smail.de||||||51|||||||15.02.2016|N|2|0189-825374||lukas.rimmele@neg-velbert.de|N
Kohlmeierin|Uwe|03.06.2006|||Winterberg||01234-550574|U.Kohlmeierin@smail.de||||||51|||||||15.02.2016|N|2|0189-145027||tom.kraska@neg-velbert.de|N
Kordes|Stephanie|29.06.2006|||Hilden||01234-674133|S.Kordes@smail.de||||||51|||||||15.02.2016|N|2|0189-990202||laura.vossgaetter@neg-velbert.de|N
Korth|Anja|16.07.2006|||Oberhausen||01234-641788|A.Korth@smail.de||||||51|||||||15.02.2016|N|2|0189-387853||rahel.sandrock@neg-velbert.de|N
Krahl|Klaudia|26.04.2006|||Wadersloh||01234-496783|K.Krahl@smail.de||||||51|||||||16.02.2016|N|2|0189-663428||parfaite.nkossi@neg-velbert.de|N
Krawielitzki|Melanie|06.10.2006|||Schieder-Schwalenberg||01234-168864|M.Krawielitzki@smail.de||||||51|||||||15.02.2016|N|2|0189-366688||maja.solbach@neg-velbert.de|N
Lofton|Sabrina|19.07.2006|||Düsseldorf||01234-893886|S.Lofton@smail.de||||||52|||||||15.02.2016|N|2|0189-861288||vivien.goldammer@neg-velbert.de|N
Lucht|Karolin|26.05.2006|||Gelsenkirchen||01234-830259|K.Lucht@smail.de||||||51|||||||05.12.2019|N|2|0189-366241||ina.zebi@neg-velbert.de|N
Lüttger|Jana|18.06.2006|||Siegen||01234-862090|J.Lüttger@smail.de||||||51|||||||15.02.2016|N|2|0189-350856||melina.tzima@neg-velbert.de|N
Maletz|Kristian|01.01.2006|||Remscheid||01234-474653|K.Maletz@smail.de||||||51|||||||15.02.2016|N|2|0189-583022||lars.weiss@neg-velbert.de|N
Marung|Kathrin, Katrin|19.11.2006|||Düsseldorf||01234-353327|K.Marung@smail.de||||||51|||||||15.02.2016|N|2|0189-194589||leni.droescher@neg-velbert.de|N
Matschke|Eric|05.05.2005|||Wermelskirchen||01234-308508|E.Matschke@smail.de||||||51||||||01.08.2015||N|2|0189-734205||fabion.baljiu@neg-velbert.de|N
Melchers|Dennis|29.10.2004|||Wachtendonk||01234-527658|D.Melchers@smail.de||||||51||||||01.08.2015||N|2|0189-870433||jeremy.lauciello@neg-velbert.de|N
Menk|Ulrike|13.09.2006|||Schwalmtal||01234-529016|U.Menk@smail.de||||||51|||||||15.02.2016|N|2|0189-915435||sarah.schneider@neg-velbert.de|N
Meredith|Lukas|10.12.2004|||Rüthen||01234-165988|L.Meredith@smail.de||||||51||||||01.08.2015||N|2|0189-507686||jan.geci@neg-velbert.de|N
Momsen|Ralf|09.08.2005|||Extertal||01234-702305|R.Momsen@smail.de|163|||||51||||||01.08.2015||N|2|0189-248352||yakup.uyar@neg-velbert.de|N
Niehues-Schütte|Jana|19.01.2006|||Eslohe||01234-971744|J.Niehues-Schütte@smail.de||||||51||||||01.08.2015|23.02.2016|N|2|0189-571001||hacer.yildiz@neg-velbert.de|N
Nommsen|Mario|05.02.2006|||Marienheide||01234-465665|M.Nommsen@smail.de||||||51|||||||15.02.2016|N|2|0189-525615||yusuf.calis@neg-velbert.de|N
Polzer|Kristian|07.03.2005|||Neuss||01234-580840|K.Polzer@smail.de||||||51||09||||01.08.2015||N|2|0189-415988||philip.chinah@neg-velbert.de|N
Puterer|Mathias|12.09.2006|||Herford||01234-561777|M.Puterer@smail.de||||||51|||||||15.02.2016|N|2|0189-768505||andre.grimmert@neg-velbert.de|N
Rathjen|Ralf|24.06.2006|||Dortmund||01234-937111|R.Rathjen@smail.de||||||51|||||||15.02.2016|N|2|0189-829249||bennet.dinter@neg-velbert.de|N
Riddlesdale|Christian|22.01.2006|||Solingen||01234-313515|C.Riddlesdale@smail.de||||||51|||||||16.02.2016|N|2|0189-583556||tristan.fuenthen@neg-velbert.de|N
Röchling|Jana|01.09.2006|||Essen||01234-425001|J.Röchling@smail.de||||||51|||||||15.02.2016|N|2|0189-978728||simona.buono@neg-velbert.de|N
Roßbecher|Christin|16.02.2006|||Pulheim||01234-720801|C.Roßbecher@smail.de||||||52|||||||15.02.2016|N|2|0189-934989||cornelia.moor@neg-velbert.de|N
Rück|Sebastian|13.01.2007|||Bad Godesberg||01234-917452|S.Rück@smail.de||||||51|||||||15.02.2016|N|2|0189-355049||nick.bender@neg-velbert.de|N
Salge|Jennifer|01.09.2006|||Altena||01234-972669|J.Salge@smail.de||||||52|||||||15.02.2016|N|2|0189-486495||melek.aydemir@neg-velbert.de|N
Sammet|Felix|16.12.2006|||Herne||01234-556435|F.Sammet@smail.de|||||||||||||10.02.2017|N|2|0189-660025||mishel.kanab@neg-velbert.de|N
Saßmannshausen|Anja|08.09.2006|||Salzkotten||01234-693573|A.Saßmannshausen@smail.de||||||51|||||||15.02.2016|N|2|0189-764975||sofia.passaler@neg-velbert.de|N
Schassen|David|29.10.2006|||Köln||01234-644674|D.Schassen@smail.de||||||51|||||||15.02.2016|N|2|0189-880064||patrick.lange@neg-velbert.de|N
Schlimm|Swen|24.12.2006|||Dinslaken||01234-973697|S.Schlimm@smail.de||||||51|||||||23.02.2016|N|2|0189-404420||philipp.klose@neg-velbert.de|N
Schöngarth|Franziska|02.08.2006|||Düsseldorf||01234-691991|F.Schöngarth@smail.de||||||51|||||||15.02.2016|N|2|0189-953262||marlene.schulz@neg-velbert.de|N
Schrade|Kristian|27.07.2006|||Düsseldorf||01234-772724|K.Schrade@smail.de||||||51|||||||15.02.2016|N|2|0189-244700||emre.yilmaz@neg-velbert.de|N
Schulte-Heymink|Diana|18.09.2006|||Aachen||01234-900526|D.Schulte-Heymink@smail.de||||||51|||||||15.02.2016|N|2|0189-853898||lara.cardenaeo@neg-velbert.de|N
Schulte-Janning|Antje|28.08.2006|||Duisburg||01234-141961|A.Schulte-Janning@smail.de||||||51|||||||15.02.2016|N|2|0189-147710||sophie.klemp@neg-velbert.de|N
Schulte-Wiggering|Thorsten|13.02.2006|||Blankenheim||01234-104635|T.Schulte-Wiggering@smail.de||||||51|||||||16.02.2016|N|2|0189-911887||denizhan.krueger@neg-velbert.de|N
Schwidrik|Christian|20.07.2006|||Hünxe||01234-127187|C.Schwidrik@smail.de||||||51|||||||15.02.2016|N|2|0189-925899||christos.mpintsis@neg-velbert.de|N
Seidel|Barbara|04.11.2006|||Soest||01234-923268|B.Seidel@smail.de||||||51|||||||15.02.2016|N|2|0189-331137||carolin.wolf@neg-velbert.de|N
Seipp|Barbara|22.06.2006|||Düsseldorf||01234-633461|B.Seipp@smail.de||||||52|||||||15.02.2016|N|2|0189-831346||juliana.staschewski@neg-velbert.de|N
Senst|Sophie|13.09.2006|||Vreden||01234-604559|S.Senst@smail.de||||||51|||||||15.02.2016|N|2|0189-742605||jule.holfort@neg-velbert.de|N
Spica|Uta|17.07.2006|||Pinneberg||01234-624769|U.Spica@smail.de||||||51|||||||15.02.2016|N|2|0189-120056||rosalie.doege@neg-velbert.de|N
Stahlmann|Anke|25.06.2006|||Brühl||01234-461479|A.Stahlmann@smail.de|163|||||51|||||||16.02.2016|N|2|0189-541268||yasemin.dogan@neg-velbert.de|N
Stephan|Maria|09.07.2006|||Merzenich||01234-856013|M.Stephan@smail.de||||||51||||||01.08.2016|15.02.2016|N|2|0189-112294||amelie.balk@neg-velbert.de|N
Teuffenbach|Uwe|13.02.2007|||Wesel||01234-618270|U.Teuffenbach@smail.de||||||52||||||01.08.2015||N|2|0189-970682||lior.weston@neg-velbert.de|N
Todt|Erik|01.03.2006|||Schalksmühle||01234-784109|E.Todt@smail.de||||||51|||||||15.02.2016|N|2|0189-450870||ferdi.aydin@neg-velbert.de|N
Tüttinghoff|Ulrike|13.01.2007|||Lübbecke||01234-851371|U.Tüttinghoff@smail.de|122|||||51|||||||15.02.2016|N|2|0189-144226||alina.mesic@neg-velbert.de|N
Wandry|Frank|28.11.2005|||Gelsenkirchen||01234-460803|F.Wandry@smail.de||||||51|||||||28.06.2017|N|2|0189-229116||harashdeep.singh@neg-velbert.de|N
Weege|Klaudia|26.10.2006|||Coesfeld||01234-645299|K.Weege@smail.de||||||51|||||||16.02.2016|N|2|0189-826158||lia.guenther@neg-velbert.de|N
Zacharias|Daniela|04.08.2006|||Duisburg||01234-348196|D.Zacharias@smail.de||||||51|||||||15.02.2016|N|2|0189-276654||sara.molla@neg-velbert.de|N
Adams|Susanne|28.06.2005|||Herne||01234-462711|S.Adams@smail.de||||||51||09||||01.08.2015||N|2|0189-606240||liv.ihlo@neg-velbert.de|N
Auer|Stefanie|29.09.2004|||Much||01234-164690|S.Auer@smail.de||||||51||||||01.08.2015|05.03.2020|N|2|0189-574852||jasmina.neumann@neg-velbert.de|N
Bartelsen|Torsten|17.12.2004|||Dortmund||01234-797273|T.Bartelsen@smail.de||||||51||09||||01.08.2015||N|2|0189-499285||kai.schlager@neg-velbert.de|N
Briel|Susanne|05.10.2005|||Drolshagen||01234-424964|S.Briel@smail.de||||||51||09||||01.08.2015||N|2|0189-217749||emma.salonski@neg-velbert.de|N
Bröcking|Anke|20.11.2005|||Dortmund||01234-436584|A.Bröcking@smail.de||||||51||09||||01.08.2015||N|2|0189-982250||marie.brandenburg@neg-velbert.de|N
Bruning|Christina|24.04.2005|||Monheim||01234-956270|C.Bruning@smail.de||||||51||09||||01.08.2015||N|2|0189-687447||hermine.koegler@neg-velbert.de|N
Buck|Phillipp|10.01.2005|||Gütersloh||01234-918391|P.Buck@smail.de||||||51||09||||01.08.2015||N|2|0189-536980||julian.herse@neg-velbert.de|N
Conrads|Benjamin|20.03.2005|||Bergheim||01234-737591|B.Conrads@smail.de||||||51||09||||01.08.2015||N|2|0189-330687||tobias.kemmann@neg-velbert.de|N
Cruse|Ines|10.03.2005|||Dortmund||01234-733857|I.Cruse@smail.de||||||51||09||||01.08.2015||N|2|0189-902525||zehra.coskun@neg-velbert.de|N
Didrichs|Petra|28.06.2005|||Köln||01234-669780|P.Didrichs@smail.de||||||51||09||||01.08.2015||N|2|0189-163541||greta.kreutzenbeck@neg-velbert.de|N
Dortmann|Sabrina|03.05.2005|||Wesel||01234-684520|S.Dortmann@smail.de||||||51||09||||01.08.2015||N|2|0189-503331||ellen.goelz@neg-velbert.de|N
Eiden|Nadine|16.12.2005|||unbekannt verzogen||01234-677837|N.Eiden@smail.de||||||51||09||||01.08.2015||N|2|0189-414579||livia.baden@neg-velbert.de|N
Fischer|Florian|25.09.2003|||Hattingen||01234-210543|F.Fischer@smail.de||||||51|||||||21.06.2020|N|2|0189-422443||mahmut.erol@neg-velbert.de|N
Friedel|Ursula|19.04.2005|||Goch||01234-436151|U.Friedel@smail.de|163|||||51||09||||01.08.2015||N|2|0189-525011||tuana.civelek@neg-velbert.de|N
Geis|Anne|12.06.2005|||Unna||01234-692606|A.Geis@smail.de||||||51||09|||||30.05.2017|N|2|0189-421866||nilay.kuhn@neg-velbert.de|N
Gervaisot|Klaus|18.05.2004|||Lotte||01234-806404|K.Gervaisot@smail.de||||||51||||||01.08.2015|05.03.2020|N|2|0189-342481||kerem.isik@neg-velbert.de|N
Gildemeister|Dominik|05.08.2003|||Rheinbach||01234-145253|D.Gildemeister@smail.de||||||51||||||01.08.2015|05.03.2020|N|2|0189-164511||simon.blucha@neg-velbert.de|N
Gockel|Anna|18.06.2006|||Kerpen||01234-420140|A.Gockel@smail.de||||||52|31.07.2020|09|01.08.2020|||01.08.2015||N|2|0189-306440||eliana.akoda@neg-velbert.de|N
Gramann|Christin|19.02.2005|||Meckenheim||01234-753208|C.Gramann@smail.de||||||51||09||||01.08.2015||N|2|0189-204913||ruth.salzner@neg-velbert.de|N
Gras|Ralf|18.01.2004|||Bottrop||01234-207068|R.Gras@smail.de|163|||||51||||||01.08.2015|05.03.2020|N|2|0189-260671||gueney.kolcak@neg-velbert.de|N
Grosse-Hündfeld|Dominik|21.10.2005|||Remscheid||01234-606419|D.Grosse-Hündfeld@smail.de||||||51||09||||01.08.2015||N|2|0189-170090||timon.scheffler@neg-velbert.de|N
Haykes|Tobias|25.08.2003|||Borchen||01234-262391|T.Haykes@smail.de||||||51|||||||14.05.2020|N|2|0189-563082||ben.diesner@neg-velbert.de|N
Horlacher|Jana|25.01.2004|||Minden||01234-145964|J.Horlacher@smail.de||||||51|||||||03.03.2020|N|2|0189-250444||giuliana.lato@neg-velbert.de|N
Jacobi|Klaudia|22.09.2004|||Gevelsberg||01234-396132|K.Jacobi@smail.de||||||51|||||||12.08.2020|N|2|0189-438696||adriana.fitsch@neg-velbert.de|N
Jung|Leon|12.10.2004|||Brüggen||01234-227800|L.Jung@smail.de|121|||||51||||||01.08.2015|05.03.2020|N|2|0189-856009||giuseppe.verdini@neg-velbert.de|N
Jünger|Sarah|08.12.2004|||Willich||01234-204114|S.Jünger@smail.de||||||51||09||||01.08.2015||N|2|0189-321643||leonie.herse@neg-velbert.de|N
Kallenberger|Brigitte|05.03.2005|||Schermbeck||01234-675803|B.Kallenberger@smail.de||||||51||09||||01.08.2015||N|2|0189-285648||emma.steinhage@neg-velbert.de|N
Knoch|Michael|29.12.2005|||Bocholt||01234-113045|M.Knoch@smail.de||||||51||09||||01.08.2015||N|2|0189-525180||quentin.wissel@neg-velbert.de|N
Kock|Ute|11.11.2004|||Schloß Holte-Stukenbrock||01234-151982|U.Kock@smail.de||||||51||09||||01.08.2015||N|2|0189-725863||zeena.ubaiathullah@neg-velbert.de|N
Kroh|Anja|18.10.2004|||Bielefeld||01234-162016|A.Kroh@smail.de||||||52||09||||01.08.2015||N|2|0189-424757||sara.velicanin@neg-velbert.de|N
Kuglann|Juliane|09.08.2005|||Hagen||01234-214130|J.Kuglann@smail.de||||||51||09||||01.08.2015||N|2|0189-182608||nisa.kaya@neg-velbert.de|N
Loeben|Diana|20.11.2005|||Dortmund||01234-165929|D.Loeben@smail.de||||||51||09||||01.08.2015||N|2|0189-327349||lucy.erschov@neg-velbert.de|N
Lorenses|Sabine|06.05.2005|||Gevelsberg||01234-599208|S.Lorenses@smail.de||||||51||09||||01.08.2015||N|2|0189-914134||caja.spitzer@neg-velbert.de|N
Lotz|Tobias|03.02.2004|||Voerde||01234-787907|T.Lotz@smail.de||||||51||09|||||26.02.2014|N|2|0189-760834||taha.kaya@neg-velbert.de|N
Lux|Andrea|23.03.2005|||Steinheim||01234-396493|A.Lux@smail.de||||||51||09||||01.08.2015||N|2|0189-840401||marleen.rudolph@neg-velbert.de|N
Mallory|Eric|14.04.2004|||Ratingen||01234-255637|E.Mallory@smail.de||||||51||||||01.08.2015|05.03.2020|N|2|0189-164049||magnus.jansen@neg-velbert.de|N
Marteville|Diana|14.09.2005|||Köln||01234-427447|D.Marteville@smail.de|137|||||51||09||||01.08.2015||N|2|0189-213404||carmen.tranchida@neg-velbert.de|N
Matzen|Marcel|05.08.2005|||Köln||01234-390863|M.Matzen@smail.de||||||51||09||||01.08.2015||N|2|0189-625901||nils.gricar@neg-velbert.de|N
Plogen|Andreas|13.09.2004|||Spenge||01234-362422|A.Plogen@smail.de||||||51||09|||||01.07.2015|N|2|0189-927005||daniel.emde@neg-velbert.de|N
Puterer|Matthias|16.01.2005|||Moers||01234-102915|M.Puterer@smail.de||||||51||09||||01.08.2015||N|2|0189-243634||max.bitzhoefer@neg-velbert.de|N
Reinking|Florian|12.11.2003|||Hamm||01234-349419|F.Reinking@smail.de||||||51||09|||||26.02.2014|N|2|0189-547380||bugra.erdogan@neg-velbert.de|N
Reuner|Sarah|15.05.2005|||Stadtlohn||01234-210354|S.Reuner@smail.de||||||51||09||||01.08.2015||N|2|0189-148089||rojin.yilmaz@neg-velbert.de|N
Röttger|Sarah|22.03.2005|||Siegen||01234-519877|S.Röttger@smail.de||||||51||09|||||11.10.2019|N|2|0189-590197||isabell.holtmann@neg-velbert.de|N
Russell|Patrick|08.04.2005|||Gangelt||01234-475864|P.Russell@smail.de||||||51||09||||01.08.2015||N|2|0189-224282||noah.kitzelmann@neg-velbert.de|N
Russell|Jessika|27.03.2005|||Wuppertal||01234-799523|J.Russell@smail.de||||||51||09||||01.08.2015||N|2|0189-653610||eva.fuchs@neg-velbert.de|N
Scherer|Tim|06.03.2005|||Essen||01234-485663|T.Scherer@smail.de||||||51||09||||01.08.2015||N|2|0189-666773||yannick.ochsenbruch@neg-velbert.de|N
Schrade|Eric|25.12.2004|||Rheurdt||01234-348312|E.Schrade@smail.de||||||51||09||||01.08.2015||N|2|0189-260521||nicolas.schneider@neg-velbert.de|N
Sielfeld|Franziska|27.02.2005|||Dortmund||01234-255317|F.Sielfeld@smail.de||||||51||09||||01.08.2015||N|2|0189-249300||helin.dogan@neg-velbert.de|N
Steglitz|Leon|02.12.2004|||Kerpen||01234-160278|L.Steglitz@smail.de|152|||||51||09||||01.08.2015||N|2|0189-493348||leon.bose@neg-velbert.de|N
Stramm|Maximilian|20.08.2005|||Ahaus||01234-575916|M.Stramm@smail.de||||||51||09|||||31.05.2017|N|2|0189-439244||niklas.berker@neg-velbert.de|N
Timmermann|Eric|28.01.2005|||Unna||01234-416050|E.Timmermann@smail.de||||||51||09|||||27.02.2014|N|2|0189-162030||fynn.haferkamp@neg-velbert.de|N
Venneker|Uta|25.03.2005|||Essen||01234-609403|U.Venneker@smail.de||||||51||09||||01.08.2015||N|2|0189-526815||isil.catak@neg-velbert.de|N
Vidante|Karin|13.03.2004|||Baesweiler||01234-440233|K.Vidante@smail.de||||||51||||||||N|2|0189-206496||elin.gohlisch@neg-velbert.de|N
Wagener|Melanie|08.12.2005|||Krefeld||01234-117519|M.Wagener@smail.de||||||51||09||||01.08.2015||N|2|0189-701378||enie.kessels@neg-velbert.de|N
Wesel|Ralph|27.01.2005|||Lippstadt||01234-270521|R.Wesel@smail.de||||||51||09||||01.08.2015||N|2|0189-479192||jakob.prandzioch@neg-velbert.de|N
Arbat|Alexander|30.11.2003|||Kranenburg||01234-177984|A.Arbat@smail.de||||||51||EF|||||27.02.2014|N|2|0189-710554||robin.platz@neg-velbert.de|N
Aßmann|Barbara|02.03.2002|||Langenfeld||01234-893378|B.Aßmann@smail.de||||||51||EF|||||07.03.2019|N|3|0189-878545||aileen.neumann1@neg-velbert.de|N
Bauer|Ulrich|25.12.2003|||Dortmund||01234-202229|U.Bauer@smail.de||||||51||EF|||||27.06.2014|N|2|0189-939527||jamal.haye@neg-velbert.de|N
Beckenhennings|Anne|13.04.2003|||Duisburg||01234-785135|A.Beckenhennings@smail.de||||||51||EF|||||06.07.2016|N|2|0189-549637||agnieszka.smola@neg-velbert.de|N
Beckmann|Sandra|16.04.2004|||Moers||01234-572299|S.Beckmann@smail.de||||||51||EF|||||28.02.2014|N|2|0189-642664||charlotte.rother@neg-velbert.de|N
Bertmaring|Eric|18.06.2004|||Düsseldorf||01234-308503|E.Bertmaring@smail.de||||||51||EF|||||27.02.2014|N|2|0189-357966||nikolas.roehm@neg-velbert.de|N
Bisson|Michael|24.12.2004|||Ahlen||01234-131807|M.Bisson@smail.de||||||||EF||||||N|2|0189-489830||ahmed.jalloul@neg-velbert.de|N
Blum|Laura|07.09.2004|||Düsseldorf||01234-171875|L.Blum@smail.de||||||51||EF|||||28.02.2014|N|2|0189-452591||kristina.rajic@neg-velbert.de|N
