Nachname|Vorname|Geburtsdatum|Geschlecht|Status|PLZ|Ort|Straße|Aussiedler|1. Staatsang.|Konfession|StatistikKrz Konfession|Aufnahmedatum|Abmeldedatum Religionsunterricht|Anmeldedatum Religionsunterricht|Schulpflicht erf.|Reform-Pädagogik|Nr. Stammschule|Jahr|Abschnitt|Jahrgang|Klasse|Schulgliederung|OrgForm|Klassenart|Fachklasse|Noch frei|Verpflichtung Sprachförderkurs|Teilnahme Sprachförderkurs|Einschulungsjahr|Übergangsempf. JG5|Jahr Wechsel S1|1. Schulform S1|Jahr Wechsel S2|Förderschwerpunkt|2. Förderschwerpunkt|Schwerstbehinderung|Autist|LS Schulnr.|LS Schulform|Herkunft|LS Entlassdatum|LS Jahrgang|LS Versetzung|LS Reformpädagogik|LS Gliederung|LS Fachklasse|LS Abschluss|Abschluss|Schulnr. neue Schule|Zuzugsjahr|Geburtsland Schüler|Geburtsland Mutter|Geburtsland Vater|Verkehrssprache|Dauer Kindergartenbesuch|Ende Eingliederungsphase|Ende Anschlussförderung
Liedemet|Ulrike|11.09.2008|w|2|58119|Hagen|Karl-Marx-Allee 210|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|131581|G|G|31.07.2018|04|11|||||||||152|152||||
Lindemann|Martin|28.04.2008|m|2|47626|Kevelaer|Stellingdamm 16|N|000|ohne Bekenntnis|OH|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|131581|G|G|31.07.2018|04|11||||||||||||||
Loosch|Sven|09.06.2008|m|2|44227|Dortmund|Stallschreibergasse 300|N|000|katholisch|KR|01.08.2019|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|169948|GY|GY|31.07.2019|05|11||||||||||||||
Mund|Tanja|01.05.2008|w|2|40545|Düsseldorf|Strandweg 218|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|116490|G|G|31.07.2018|04|11||||||||||||||
Nommsen|Christin|11.08.2008|w|2|42549|Velbert|Brahestraße 395|N|000|orthodoxe|XO|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|124163|G|G|31.07.2018|04|11||||||||||||||
Oliver|Katja|19.06.2008|w|2|44629|Herne|Ernst-Reuter-Platz 330|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|131581|G|G|31.07.2018|04|11||||||||||||||
Schwartz|Sabine|19.06.2008|w|2|59494|Soest|Lappstraße 252|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|R|2018|Gy||||N|N|124163|G|G|31.07.2018|04|11||||||||||||||
Solterbeck|Klaus|07.09.2008|m|2|53844|Troisdorf|Schöneicher Weg 161|N|000|griechisch-orthodox|OR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|116490|G|G|31.07.2018|04|11||||||||154|154|154|ro|||
Valentin|Maximilian|16.09.2008|m|2|50667|Köln|Schlachthausgasse 462|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|124163|G|G|31.07.2018|04|11||||||||||||||
Wallmeyer|René|14.06.2008|m|2|45884|Gelsenkirchen|Gierkeplatz 311|N|000|ohne Bekenntnis|OH|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|124163|G|G|31.07.2018|04|11|||||||||163|152||||
Abraham|Claudia|12.11.2007|w|2|47509|Rheurdt|Schüßlerplatz 282|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|151130|G|G|31.07.2018|04|11||||||||||||||
Bertmars|Jessica|05.09.2008|w|2|53945|Blankenheim|Schmale Straße 38|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|129100|G|G|31.07.2018|04|11||||||||||||||
Brinkmann|Vanessa|24.05.2008|w|2|40789|Monheim|Landwehrstraße 376|N|000|alevitisch|AR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|124163|G|G|31.07.2018|04|11|||||||||163||tr|||
Brockmann|Dirk|01.06.2008|m|2|45359|Essen|Erknerstraße 456|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|109101|G|G|31.07.2018|04|11|||||||||122|122|hr|||
Geier|Karolin|06.03.2009|w|2|57074|Siegen|Agathe-Lasch-Platz 491|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|111259|G|G|31.07.2018|04|11||||||||||||||
Goltschmit|Andrea|14.08.2008|w|2|40883|Ratingen|Liebknechtplatz 403|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|192557|G|G|31.07.2018|04|11|||||||||444|444|de|||
Grünewald|Klaudia|27.06.2007|w|2|58579|Schalksmühle|Plönzeile 16|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|129100|G|G|31.07.2018|04|11|||||||||163|163|tr|||
Hennings|Max|26.02.2008|m|2|47447|Moers|Graditzer Allee 257|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|135148|G|G|31.07.2018|04|11|||||||||152|152|pl|||
Hohemann|Jörg|02.06.2008|m|2|44649|Herne|Kleine Straße 45|N|000|ohne Bekenntnis|OH|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|192557|G|G|31.07.2018|04|11||||||||||148||||
Kemper|Sophia|29.09.2008|w|2|40229|Düsseldorf|Eppenbrunner Weg 394|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|124163|G|G|31.07.2018|04|11||||||||||||||
Kerckow|Maximilian|13.06.2009|m|2|46149|Oberhausen|Am Graben 425|N|000|ohne Bekenntnis|OH|01.08.2018||11.02.2019|N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|118229|G|G|31.07.2018|04|11||||||||||||||
Kotthof|Gabriele|03.03.2008|w|2|58802|Balve|Schöneicher Straße 184|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|151130|G|G|31.07.2018|04|11|||||||||000|163|tr|||
Lindemann|Sophia|31.01.2009|w|2|58455|Witten|Nagelgasse 71|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|R|2018|Gy||||N|N|135148|G|G|31.07.2018|04|11||||||||||160||||
Lochen|Sara|13.08.2008|w|2|48157|Münster|Kakernacks Geßlein 480|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|192557|G|G|31.07.2018|04|11||||||||||||||
Lovick|Birgit|24.06.2007|w|2|48159|Münster|Schiefergasse 288|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|R|2018|Gy||||N|N|151130|G|G|31.07.2018|04|11||||||||||||||
Maria|Christine|20.05.2008|w|2|50674|Köln|Marktplatz 84|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|118229|G|G|31.07.2018|04|11||||||||||||||
Mehrings|Ines|29.06.2008|w|2|58566|Kierspe|Landsberger Quer-Gasse 319|N|000|ohne Bekenntnis|OH|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|192557|G|G|31.07.2018|04|11|||||||||163|||||
Mörchen|Philipp|01.09.2008|m|2|45257|Essen|Bukesweg 259|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|111259|G|G|31.07.2018|04|11|||||||||152|152||||
Neumann|Andreas|07.08.2008|m|2|59929|Brilon|Schloßfreiheit 39|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|192557|G|G|31.07.2018|04|11||||||||||||||
Porselt|Ulrike|24.02.2008|w|2|47137|Duisburg|Kronenstraße 463|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|109101|G|G|31.07.2018|04|11||||||||||163|tr|||
Rebbereh|Max|06.09.2008|m|2|40474|Düsseldorf|Elseneck 111|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|109101|G|G|31.07.2018|04|11||||||||||||||
Rennerich|Sophie|10.01.2008|w|2|58638|Iserlohn|Braunsche Privatstraße 197|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|124163|G|G|31.07.2018|04|11|||||||||163|||||
Sanders|Sabrina|28.02.2008|w|2|46244|Bottrop|Möllhausenufer 33|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|124163|G|G|31.07.2018|04|11|||||||||252|||||
Schlick|Steffen|19.12.2007|m|2|44265|Dortmund|Nagelgasse 450|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|129100|G|G|31.07.2018|04|11|||||||||152|152|pl|||
Schulte-Dabrock|Laura|05.01.2008|w|2|45968|Gladbeck|Rhedaer Weg 428|N|475|islamisch|IR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2013|Gy|2018|Gy||||N|N|192557|G|G|31.07.2018|04|11||||||||475|475|475|ar|||
Schulze-Dabrock|Jörg|07.11.2008|m|2|45896|Gelsenkirchen|Am Küstergarten 95|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|135148|G|G|31.07.2018|04|11||||||||||||||
Schuster|Anja|07.07.2007|w|2|51702|Bergneustadt|Bismarckstraße 15|N|000|alevitisch|AR|05.02.2020|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2013|R/Gy|2018|Gy||||N|N|169614|GY|GY|04.02.2020|06|||||||||000|163|163|tr|||
Schwenninger|Sophia|22.01.2009|w|2|44623|Herne|Schmöckwitzer Damm 468|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|151130|G|G|31.07.2018|04|11|||||||||000|000|tr|||
Zurlohe|Franziska|18.02.2008|w|2|50374|Erftstadt|Slabystraße 50|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08C|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|124163|G|G|31.07.2018|04|11||||||||||||||
Abraham|René|16.09.2007|m|2|42327|Wuppertal|Birkheidering 224|N|134|griechisch-orthodox|OR|31.08.2018|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013||2017|SK||||N|N|198833|SK|SE|30.08.2018|05|11|||||||2018|134|134|134|el||22.08.2020|31.01.2021
Amler|Jessika|23.11.2007|w|2|40477|Düsseldorf|Am Rupenhorn 261|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|100870|G|G|31.07.2017|04|11||||||||||||||
Brot|Niklas|09.02.2007|m|2|33739|Bielefeld|Mahlower Straße 298|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|R/Gy|2017|Gy||||N|N|110346|G|G|31.07.2017|04|11||||||||||||||
Bullerbeck|Christina|29.12.2006|w|2|59069|Hamm|Plehmpfad 290|N|000|evangelisch|ER|01.08.2017|13.02.2020||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|122580|G|G|31.07.2017|04|11||||||||||||||
Ford|Martin|10.05.2007|m|2|44791|Bochum|Neue Gasse 164|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|122580|G|G|31.07.2017|04|11||||||||||||||
Frahm|Lea|24.12.2006|w|2|52428|Jülich|Albert-Schweitzer-Straße 367|N|000|katholisch|KR|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|116490|G|G|31.07.2017|04|11|||||||||152|164||||
Gabel|Lukas|23.02.2007|m|2|53604|Bad Honnef|Spreestraße 214|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|110346|G|G|31.07.2017|04|11||||||||||||||
Gabel|Juliane|24.10.2006|w|2|47652|Weeze|Flakenseestraße 459|N|000|ohne Bekenntnis|OH|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|R/Gy|2017|Gy||||N|N|116490|G|G|31.07.2017|04|11||||||||||163||||
Gauert|Christina|30.01.2007|w|2|32361|Preußisch Oldendorf|Piepertswinkel 311|N|134|griechisch-orthodox|OR|31.08.2018|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2012||2017|SK||||N|N|198833|SK|SE|30.08.2018|05|11|||||||2018|134|134|134|el||22.08.2020|
Geller|Claudia|17.03.2007|w|2|49545|Tecklenburg|Elstergrund 380|N|000|islamisch|IR|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|110346|G|G|31.07.2017|04|11|||||||||||tr|||
Haardt|Ute|09.02.2007|w|2|45529|Hattingen|Bolivarallee 334|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|116490|G|G|31.07.2017|04|11||||||||||||||
Hengst|Martina|06.09.2007|w|2|47199|Duisburg|Springeberger Weg 91|N|000|ohne Bekenntnis|OH|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|116490|G|G|31.07.2017|04|11||||||||||||||
Klauser-Baumgartner|Doreen|28.04.2007|w|2|41063|Mönchengladbach|Luckauer Straße 192|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|R/Gy|2017|Gy||||N|N|133309|G|G|31.07.2017|04|11||||||||||||||
Kloos|Klaus|07.08.2007|m|2|45356|Essen|Am Damm 136|N|000|ohne Bekenntnis|OH|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|100870|G|G|31.07.2017|04|12||||||||||||||
Miehlich|Lisa|10.04.2007|w|2|58791|Werdohl|Kirchgasse 45|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|100870|G|G|31.07.2017|04|11||||||||225||||||
Prillwitz|Marko|30.03.2007|m|2|42555|Velbert|Rathausstraße 489|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|192557|G|G|31.07.2017|04|11||||||||||||||
Rickends|Christine|05.05.2007|w|2|57258|Freudenberg|Erwin-Bock-Straße 184|N|000|ohne Bekenntnis|OH|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|116490|G|G|31.07.2017|04|11||||||||||||||
Roßbecher|Ralph|22.08.2007|m|2|52070|Aachen|Kirchhofs-Straße 295|N|000|katholisch|KR|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|116490|G|G|31.07.2017|04|11||||||||||||||
Schuff|Karolin|25.11.2007|w|2|51375|Leverkusen|Ostendstraße 395|N|000|ohne Bekenntnis|OH|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|R/Gy|2017|Gy||||N|N|122257|G|G|31.07.2017|04|11|||||||||160|||||
Schulte-Pröbstinck|Annett|23.11.2007|w|2|33189|Schlangen|Ahéstraße 194|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|R/Gy|2017|Gy||||N|N|110346|G|G|31.07.2017|04|11||||||||||||||
Schwidetzky|Claudia|17.06.2008|w|2|53127|Bonn|Köllnische Straße 9|N|000|katholisch|KR|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2014|R|2017|Gy||||N|N|110346|G|G|31.07.2017|04|11||||||||||||||
Sjöberg|Benjamin|18.09.2007|m|2|59067|Hamm|Mozartstraße 221|N|000|katholisch|KR|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|R/Gy|2017|Gy||||N|N|133176|G|G|31.07.2017|04|11||||||||||||||
Twern|Tobias|23.10.2006|m|2|45549|Sprockhövel|Barbenweg 84|N|000|ohne Bekenntnis|OH|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|R/Gy|2017|Gy||||N|N|133309|G|G|31.07.2017|04|11||||||||||||||
Vohlheim|Karin|20.07.2006|w|2|44797|Bochum|Sportallee 407|J|000|evangelisch|ER|01.08.2016|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2012|Gy|2016|||||N|N|124163|G|G|31.07.2016|04|11||||||||||121||||
Willmott|Steffen|25.07.2007|m|2|46145|Oberhausen|Schulgartenstraße 451|N|000|katholisch|KR|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|111302|G|G|31.07.2017|04|11|||||||||152|||||
Willmott|Stefanie|09.04.2007|w|2|41334|Nettetal|Coubertinplatz 171|N|000|katholisch|KR|01.08.2017|||N|||2021|1|09|09A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|133176|G|G|31.07.2017|04|11||||||||||||||
Bruhn|Marco|16.04.2007|m|2|53173|Bonn|Eosanderstraße 176|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|131581|G|G|31.07.2017|04|11||||||||||||||
Danielsen|Anja|22.11.2006|w|2|52353|Düren|Feldstraße 497|N|000|katholisch|KR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11||||||||||137||||
Dodson|Stefanie|21.11.2007|w|2|44627|Herne|Alt-Köpenick 149|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11||||||||||||||
Drypollak|Lukas|09.10.2007|m|2|53773|Hennef|Eichenstraße 219|N|000|ohne Bekenntnis|OH|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11||||||||||||||
Heimge|Ulrike|23.11.2007|w|2|42109|Wuppertal|Schiffbauerdamm 393|N|000|katholisch|KR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|131581|G|G|31.07.2017|04|11||||||||||470||||
Hummen|Stefanie|24.04.2007|w|2|46395|Bocholt|Rathenaustraße 257|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|R/Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11||||||||||||||
Ihlenfeld|Ulrike|05.08.2007|w|2|59394|Nordkirchen|Falkenberger Allee 91|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|12||||||||||||||
Klaße|Anna|07.09.2007|w|2|45770|Marl|Nach dem französischen Kirchhof 453|N|461|islamisch|IR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|R|2017|Gy||||N|N|124163|G|G|31.01.2017|04|11||||||||461|461|461|ur|||
Kohl|Susanne|17.10.2007|w|2|33335|Gütersloh|Luxemburgplatz 285|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11||||||||||||||
Lettermann|Annett|14.12.2007|w|2|48429|Rheine|Eiselenweg 212|N|000|katholisch|KR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|131581|G|G|31.07.2017|04|11||||||||161||||||
Liebisch|Vanessa|03.08.2007|w|2|45768|Marl|Eichenstraße 69|N|000|islamisch|IR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|R|2017|Gy||||N|N|116490|G|G|31.07.2017|04|11|||||||||163|163||||
Lottmann|Angelika|20.01.2007|w|2|47228|Duisburg|Schmiedegasse 59|N|000|katholisch|KR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11||||||||||||||
Mandelsloh|Sven|31.03.2007|m|2|40476|Düsseldorf|Forststraße 313|N|000|ohne Bekenntnis|OH|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11||||||||||||||
Mayfield|Anna|31.10.2006|w|2|44137|Dortmund|Parrisiusstraße 413|N|000|islamisch|IR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|R/Gy|2017|Gy||||N|N|131581|G|G|31.07.2017|04|11||||||||||163|tr|||
Mennemann|Michael|07.09.2007|m|2|32429|Minden|Boyenallee 63|N|000|katholisch|KR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|131581|G|G|31.07.2017|04|11||||||||||||||
Merten|Sabrina|06.09.2007|w|2|48727|Billerbeck|Schönecker Weg 126|N|000|islamisch|IR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|131581|G|G|31.07.2017|04|11|||||||2016||252|252|ar||23.08.2018|
Nöthlich|Claudia|03.06.2007|w|2|46485|Wesel|Adenauerdamm 354|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|R/Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11||||||||||||||
Oestermann|Dennis|28.07.2007|m|2|59469|Ense|Goerdelerdamm 365|N|000|orthodoxe|XO|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|131581|G|G|31.07.2017|04|11|||||||||170||sr|||
Rau|Kathrin, Katrin|05.01.2007|w|2|32469|Petershagen|St. Wolfgang-Straße 140|N|000|islamisch|IR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11|||||||||163|163||||
Sauvain|Dennis|19.07.2007|m|2|50939|Köln|Otto-Krüger-Zeile 254|N|000|islamisch|IR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|131581|G|G|31.07.2017|04|11|||||||||163||tr|||
Schauster|Uwe|25.10.2007|m|2|12205|Berlin-Lichtenfelde|Becherbacher Straße 194|N|000|ohne Bekenntnis|OH|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11||||||||||||||
Schnoor|Maik|30.07.2007|m|2|58730|Fröndenberg|Max-Betcke-Platz 160|N|000|katholisch|KR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|131581|G|G|31.07.2017|04|11||||||||||||||
Schulte|Ulrich|06.06.2006|m|2|32479|Hille|Seestraße 25|N|134|orthodoxe|XO|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|131581|G|G|31.07.2017|04|11||||||||134|134|134|el|||
Schulte-Janning|Sophie|13.03.2007|w|2|46147|Oberhausen|Prinzenstraße 408|N|261|islamisch|IR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|R/Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11||||||||261|261|261||||
Speer|Sabine|31.08.2007|w|2|40549|Düsseldorf|Berliner Straße 108|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|R/Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11||||||||||||||
Tamsen|Jürgen|27.11.2007|m|2|51143|Köln|Sternallee 282|N|163|islamisch|IR|02.11.2018|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013||2017|||||N|N|||AS|01.11.2018||99|||||||2018|163|163|163|tr||01.11.2020|
Timmermann|Katja|25.05.2006|w|2|33602|Bielefeld|Altgrabauer Straße 63|N|163|islamisch|IR|02.11.2018|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013||2017|||||N|N|||AS|01.08.2018||99|||||||2018|163|163|163|tr||01.11.2020|
Wilkau|Frank|06.10.2007|m|2|46348|Raesfeld|Am Parkplatz 47|N|000|griechisch-orthodox|OR|01.08.2017|||N|||2021|1|09|09B|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|131581|G|G|31.07.2017|04|11||||||||||134|el|||
Ackolck|Monika|16.03.2007|w|2|59269|Beckum|Gatschkestraße 113|N|000|katholisch|KR|01.08.2017|||N|||2021|1|09|09C|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|192557|G|G|31.07.2017|04|11||||||||||||||
Bolt|Christian|13.05.2007|m|2|45277|Essen|Alt-Köpenick 49|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09C|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11||||||||||||||
Bülcke|Markus|02.05.2007|m|2|50996|Köln|Marktplatz 3|N|000|islamisch|IR|01.08.2017|||N|||2021|1|09|09C|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|124163|G|G|31.07.2017|04|11|||||||||170|170|sr|||
Clemens|Kevin|11.08.2007|m|2|59581|Warstein|Alter Markt 438|N|000|evangelisch|ER|01.08.2017|||N|||2021|1|09|09C|GY8|1|RK|||N|N|2013|R/Gy|2017|Gy||||N|N|192557|G|G|31.07.2017|04|11||||||||||||||
Fahnemann|Ralph|16.05.2006|m|2|58135|Hagen|Eichbergstraße 102|N|000|ohne Bekenntnis|OH|01.08.2016|||N|||2021|1|09|09C|GY8|1|RK|||N|N|2012|Gy|2016|||||N|N|192557|G|G|31.07.2016|04|11||||||||||||||
